"Player Name","Team","Pos","Games","PPR","1.5 TE","Half","Std","6 Pt Pass","ADP"
"Josh Allen","BUF","QB","17","376.5","376.5","376.5","376.5","442.2","1"
"Jalen Hurts","PHI","QB","17","360.7","360.7","360.7","360.7","411.1","2"
"Lamar Jackson","BAL","QB","17","349.0","349.0","349.0","349.0","401.8","3"
"Patrick Mahomes","KC","QB","17","329.4","329.4","329.4","329.4","394.8","4"
"Anthony Richardson","IND","QB","17","325.8","325.8","325.8","325.8","366.6","6"
"Christian McCaffrey","SF","RB","17","360.7","360.7","325.3","289.9","360.7","1"
"Dak Prescott","DAL","QB","17","324.6","324.6","324.6","324.6","396.6","8"
"CJ Stroud","HOU","QB","17","323.7","323.7","323.7","323.7","388.6","5"
"Jordan Love","GB","QB","17","313.3","313.3","313.3","313.3","380.1","11"
"Justin Fields","CHI","QB","17","312.9","312.9","312.9","312.9","356.5","9"
"Joe Burrow","CIN","QB","17","311.6","311.6","311.6","311.6","380.2","7"
"Justin Herbert","LAC","QB","17","302.8","302.8","302.8","302.8","357.9","10"
"Brock Purdy","SF","QB","17","292.7","292.7","292.7","292.7","351.4","13"
"Tua Tagovailoa","MIA","QB","17","289.8","289.8","289.8","289.8","350.6","14"
"CeeDee Lamb","DAL","WR","17","350.1","350.1","289.5","229.0","350.1","1"
"Trevor Lawrence","JAX","QB","17","287.8","287.8","287.8","287.8","338.0","15"
"Breece Hall","NYJ","RB","17","319.4","319.4","281.7","244.0","319.4","2"
"Jared Goff","DET","QB","17","280.4","280.4","280.4","280.4","336.5","17"
"Tyreek Hill","MIA","WR","17","335.6","335.6","278.9","222.1","335.6","2"
"Kyler Murray","ARI","QB","17","275.7","275.7","275.7","275.7","313.4","12"
"Caleb Williams","FA","QB","17","271.8","271.8","271.8","271.8","326.0","16"
"Kirk Cousins","MIN","QB","17","271.3","271.3","271.3","271.3","329.1","20"
"Jayden Daniels","FA","QB","17","269.7","269.7","269.7","269.7","317.0","18"
"Justin Jefferson","MIN","WR","17","321.7","321.7","267.4","213.1","321.7","3"
"Bijan Robinson","ATL","RB","17","292.9","292.9","263.8","234.7","292.9","3"
"Aaron Rodgers","NYJ","QB","17","256.4","256.4","256.4","256.4","309.8","21"
"Ja'Marr Chase","CIN","WR","17","309.1","309.1","255.5","201.9","309.1","4"
"Baker Mayfield","TB","QB","17","254.1","254.1","254.1","254.1","303.9","23"
"Amon-Ra St. Brown","DET","WR","17","311.3","311.3","253.6","195.8","311.3","5"
"Deshaun Watson","CLE","QB","17","253.2","253.2","253.2","253.2","298.6","22"
"Matthew Stafford","LAR","QB","17","252.7","252.7","252.7","252.7","299.7","19"
"Geno Smith","SEA","QB","17","251.1","251.1","251.1","251.1","301.4","25"
"Drake Maye","FA","QB","17","246.6","246.6","246.6","246.6","294.4","24"
"Derek Carr","NO","QB","17","246.0","246.0","246.0","246.0","298.8","27"
"Puka Nacua","LAR","WR","17","293.7","293.7","242.5","191.3","293.7","6"
"Russell Wilson","FA","QB","17","241.4","241.4","241.4","241.4","286.5","30"
"Daniel Jones","NYG","QB","17","235.2","235.2","235.2","235.2","269.9","26"
"Kyren Williams","LAR","RB","17","250.1","250.1","232.6","215.0","250.1","5"
"Jahmyr Gibbs","DET","RB","17","258.1","258.1","230.0","201.8","258.1","4"
